award_year,notice_id,project_name,sector,country,procurement_type,winning_bid_raw,winning_country,winning_firm,currency_unit,contract_amount,contract_value_usd,notice_url,page_url,data_source
2012,CDB2012-001,Integration of Domestic Taxes,Institutions,Barbados,Consultancy,"PricewaterhouseCoopers SRL USD 629,425.00",,PricewaterhouseCoopers SRL,USD,629425.0,629425.0,https://www.caribank.org/sites/default/files/publication-resources/CONTRACT-AWARD-INFORMATION_Integration-of-Domestic-Taxes_Central-Revenue-Authority_Barbados.pdf,https://www.caribank.org/work-with-us/procurement/contract-awards?solr_publication_contract_awards_years_filter=2012,CDB
2012,CDB2012-002,"Implementation, Design of the Organisational Structure and Related Services for the Establishment of a Central Revenue Authority",Institutions,Barbados,Consultancy,"PricewaterhouseCoopers SRL USD 478,876.65",,PricewaterhouseCoopers SRL,USD,478876.65,478876.65,https://www.caribank.org/sites/default/files/publication-resources/CONTRACT-AWARD-INFORMATIONCONSULTANCY_SERVICES_CRA_Barbados_Org_Structure.pdf,https://www.caribank.org/work-with-us/procurement/contract-awards?solr_publication_contract_awards_years_filter=2012,CDB
2013,CDB2013-001,Supply of LED Street Lights for Street Light Retrofitting Project,Climate,Antigua and Barbuda,Works,"Caribbean LED Lighting USD 4,527,140.00",,Caribbean LED Lighting,USD,4527140.0,4527140.0,https://www.caribank.org/sites/default/files/publication-resources/Contract-Award-Notice-Supply-of-LED-Street-Lights.pdf,https://www.caribank.org/work-with-us/procurement/contract-awards?solr_publication_contract_awards_years_filter=2013,CDB
2013,CDB2013-002,Brades Power Station Expansion (New 1.5MW Diesel Alternator),Climate,Montserrat,Goods,"Angelique International Ltd., India US$ 6,787,718.89",,"Angelique International Ltd., India",US$,6787718.89,6787718.89,https://www.caribank.org/sites/default/files/publication-resources/CONTRACT_AWARD_INFORMATION_Brades-Power-Station-Expansion_Montserrat.pdf,https://www.caribank.org/work-with-us/procurement/contract-awards?solr_publication_contract_awards_years_filter=2013,CDB
2013,CDB2013-003,"Antrim 250,000 impg Water Storage Tank Project",Water Resource Management,Dominica,Works,"Jamaica Drip Irrigation EC $1,239,166.00",Jamaica,Drip Irrigation,EC,1239166.0,458950.37,https://www.caribank.org/sites/default/files/publication-resources/Contract-award-information_Antrim-Water-Storage-Tank-Project-_Dominica.pdf,https://www.caribank.org/work-with-us/procurement/contract-awards?solr_publication_contract_awards_years_filter=2013,CDB
2013,CDB2013-004,"Massacre 100,000 impg Water Storage Tank Project",Water Resource Management,Dominica,Works,"F and C Construction EC$ 960,252.99",,F and C Construction,EC$,960252.99,355649.26,https://www.caribank.org/sites/default/files/publication-resources/Contract-award-information_Massacre-Water-Storage-Tank-Project-_Dominica.pdf,https://www.caribank.org/work-with-us/procurement/contract-awards?solr_publication_contract_awards_years_filter=2013,CDB
2013,CDB2013-005,Belize Road Safety Project: Lot 1 – George Price Highway Shouldering,Transportation,Belize,Works,"D&amp;M Roadway Construction BZD 1,514,238.00",,D&amp;M Roadway Construction,BZD,1514238.0,757119.0,https://www.caribank.org/sites/default/files/publication-resources/Contract-Award-Information-Lot-1_George-Price-Highway-Shouldering_Belize.pdf,https://www.caribank.org/work-with-us/procurement/contract-awards?solr_publication_contract_awards_years_filter=2013,CDB
2013,CDB2013-006,Nevis Water Enhancement Project- Water Supply- Pump Stations,Water Resource Management,Saint Kitts and Nevis,Works,"Jamaica Drip Irrigation XCD 1,755, 802.75",Jamaica,Drip Irrigation,XCD,1755802.75,650297.31,https://www.caribank.org/sites/default/files/publication-resources/Contract-Award-Info-ICB-No-20-SFR-OR-STK-01-Nevis-Water-Supply-Pump-Stations.pdf,https://www.caribank.org/work-with-us/procurement/contract-awards?solr_publication_contract_awards_years_filter=2013,CDB
2013,CDB2013-007,Nevis Water Enhancement Project- Water Supply- Tanks and Chlorine,Water Resource Management,Saint Kitts and Nevis,Works,"FDL Consult Inc (FDL) XCD 4,361,087.86",,FDL Consult Inc (FDL),XCD,4361087.86,1615217.73,https://www.caribank.org/sites/default/files/publication-resources/Contract-Award-Info-ICB-No-20-SFR-OR-STK-02-Nevis-Water-Supply-Tanks-and-Chlorine.pdf,https://www.caribank.org/work-with-us/procurement/contract-awards?solr_publication_contract_awards_years_filter=2013,CDB
2013,CDB2013-008,Change Management Expertise for the Central Revenue Authority,Institutions,Barbados,Consultancy,"KPMG BDS 690,000.00",,KPMG,BDS,690000.0,345000.0,https://www.caribank.org/sites/default/files/publication-resources/CONTRACT-AWARD-INFORMATIONCONSULTANCY_SERVICES_CRA_BARBADOS_-Change-Management.pdf,https://www.caribank.org/work-with-us/procurement/contract-awards?solr_publication_contract_awards_years_filter=2013,CDB
2013,CDB2013-009,Information Technology (IT) System Diagnostic Review and Strategy,Institutions,Barbados,Consultancy,"C2D Services Inc. USD 117,859.00",,C2D Services Inc.,USD,117859.0,117859.0,https://www.caribank.org/sites/default/files/publication-resources/CONTRACT-AWARD-INFORMATION-_IT-Diagnostic-Review-and-Strategy_Central-Revenue-Authority_Barbados.pdf,https://www.caribank.org/work-with-us/procurement/contract-awards?solr_publication_contract_awards_years_filter=2013,CDB
2014,CDB2014-001,Fourth Road Project (West Coast Demerara Road Improvement),Transportation,Guyana,Consultancy,"Tagman Media Inc. USD 180,350.00",,Tagman Media Inc.,USD,180350.0,180350.0,https://www.caribank.org/sites/default/files/publication-resources/CONTRACT-AWARD-INFORMATION_Fourth-Road-Project_Road-Safety-Public-Relations-and-Communications_Guyana.pdf,https://www.caribank.org/work-with-us/procurement/contract-awards?solr_publication_contract_awards_years_filter=2014,CDB
