project_id,notice_type,notice_no,country,year_awarded,data_source,procurement_channel,funding_source,sector,project_type,contract_value_usd,contract_currency,contract_amount,contract_duration_original_unit,contract_duration_original,contract_duration_days,winning_firm_name,winning_firm_code,winning_firm_country,winning_firm_is_chinese,winning_firm_is_soe,number_of_bidders,if_single_bidder,bidder_country_lowest_price,bidder_lowest_price,bidder_country,bidder_price_currency,bidder_price,procurement_method,financing_linked_to_bid,financing_source_chinese,joint_venture,firm_registered_locally,record_id,awarded_date,bid_reference_no,project_name,contract_url
P106700,Contract Award,OP00030767,Bolivia,2014,World Bank,MDB-financed,,"Agricultural Extension, Research, and Other Support Activities; Public Administration - Agriculture, Fishing & Forestry; Crops; Agricultural Extension, Research, and Other Support Activities; Public Administration - Agriculture, Fishing & Forestry; Crops",,,USD,,,,,,,,,,,,,,,,,,,,,,OP00030767,,,Agricultural Innovation and Services,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00030767
P088716,Contract Award,OP00030758,Brazil,2014,World Bank,MDB-financed,,Health; Public Administration - Health; Health,,,USD,,,,,,,,,,,,,,,,,International Competitive Bidding,,,,,OP00030758,,ICB 03/2014,QUALISUS-REDE Brazil Health Network Formation and Quality Improvement Project,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00030758
P095563,Contract Award,OP00030743,Peru,2014,World Bank,MDB-financed,,Health; Public Administration - Health; Health; Insurance and Pension,,,USD,,,,,,,,,,,,,,,,,Quality Based Selection,,,,,OP00030743,,PPI 002-2014-PARSALUD-BM,PE- (APL2) Health Reform Program,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00030743
P121195,Contract Award,OP00030739,Mexico,2014,World Bank,MDB-financed,,Sanitation,,,USD,,,,,,,,,,,,,,,,,International Competitive Bidding,,,,,OP00030739,,BIRF-CEA-SAPAL-SUM-013/2014,MX Water Utilities Efficiency Improvement Project (PROME),https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00030739
P116989,Contract Award,OP00030633,Argentina,2014,World Bank,MDB-financed,,Other Transportation; Rural and Inter-Urban Roads; Health; Other Public Administration; Other Public Administration; Health; Roads and highways; Other Transportation,,,USD,,,,,,,,,,,,,,,,,International Competitive Bidding,,,,,OP00030633,,Licitación Publica Nacional LPN 05/2014,AR Road Safety,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00030633
P120198,Contract Award,OP00030610,Argentina,2014,World Bank,MDB-financed,,Rural and Inter-Urban Roads; Public Administration - Transportation; Roads and highways; Sub-National Government; Other Transportation,,,USD,,,,,,,,,,,,,,,,,Least Cost Selection,,,,,OP00030610,,PP Nº 03/14,Norte Grande Road Infrastructure,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00030610
P125151,Contract Award,OP00030579,Argentina,2014,World Bank,MDB-financed,,"Sanitation; Water Supply; Public Administration - Water, Sanitation and Waste Management; Other Water Supply, Sanitation and Waste Management",,,USD,,,,,,,,,,,,,,,,,Least Cost Selection,,,,,OP00030579,,PP Nº 06/14,Plan Belgrano Water Supply and Sanitation Services Development Project,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00030579
P095314,Contract Award,OP00029975,El Salvador,2014,World Bank,MDB-financed,,"Public Administration - Financial Sector; Central Government (Central Agencies); Public Administration - Industry, Trade and Services; Other Public Administration",,,USD,,,,,,,,,,,,,,,,,International Competitive Bidding,,,,,OP00029975,,LPINT-BIRF-001/2014,Fiscal Management and Public Sector Performance Technical Assistance Loan,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00029975
P120211,Contract Award,OP00030580,Argentina,2014,World Bank,MDB-financed,,"Water Supply; Other Water Supply, Sanitation and Waste Management; Public Administration - Water, Sanitation and Waste Management; Other Transportation; Other Public Administration; Other Water Supply, Sanitation and Waste Management; Sanitation; Water Supply; Sewerage; Other Transportation; Other Public Administration",,,USD,,,,,,,,,,,,,,,,,Least Cost Selection,,,,,OP00030580,,PP Nº 06/14,Norte Grande Water Infrastructure,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00030580
P101209,Contract Award,OP00030476,Honduras,2014,World Bank,MDB-financed,,"Agricultural markets, commercialization and agri-business; Other Agriculture, Fishing and Forestry; Central Government (Central Agencies); Other Agriculture, Fishing and Forestry",,,USD,,,,,,,,,,,,,,,,,,,,,,OP00030476,,,Honduras Rural Competitiveness Project,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00030476
