project_id,country,year_awarded,data_source,procurement_channel,funding_source,sector,project_type,contract_value_usd,contract_duration_months,winning_firm_name,winning_firm_is_chinese,winning_firm_is_soe,number_of_bidders,single_bidder,procurement_method,financing_linked_to_bid,financing_source_chinese,joint_venture,firm_registered_locally,record_id,notice_type,awarded_date,bid_reference_no,project_name
P175138,Argentina,2023,World Bank,MDB-financed,IBRD92320,Railways; Public Administration - Transportation,consulting,34032.0,,HERNAN IGLESIAS FURFARO,,,,,Individual Consultant Selection,,,,1.0,OP00265750,Contract Award,2023/03/03,AR-DGPPSE - ADIF-326182-CS-INDV,Buenos Aires – Mitre Passenger Railway Line Modernization Project
P175138,Argentina,2023,World Bank,MDB-financed,IBRD92320,Railways; Public Administration - Transportation,consulting,25800.0,,ANA CARINA ADORNETTO,,,,,Individual Consultant Selection,,,,1.0,OP00265658,Contract Award,2023/05/30,AR-DGPPSE - ADIF-333492-CS-INDV,Buenos Aires – Mitre Passenger Railway Line Modernization Project
P175138,Argentina,2023,World Bank,MDB-financed,IBRD92320,Railways; Public Administration - Transportation,consulting,16000.0,,MARCOS ALBERTO BECK,,,,,Individual Consultant Selection,,,,1.0,OP00264934,Contract Award,2023/11/23,AR-DGPPSE - ADIF-376604-CS-INDV,Buenos Aires – Mitre Passenger Railway Line Modernization Project
P175138,Argentina,2023,World Bank,MDB-financed,IBRD92320,Railways; Public Administration - Transportation,consulting,15000.0,,INCA AUGUST CRESPO,,,,,Individual Consultant Selection,,,,1.0,OP00264739,Contract Award,2023/11/23,AR-DGPPSE - ADIF-372838-CS-INDV,Buenos Aires – Mitre Passenger Railway Line Modernization Project
P175138,Argentina,2023,World Bank,MDB-financed,IBRD92320,Railways; Public Administration - Transportation,consulting,11500.0,,ANA CARINA ADORNETTO,,,,,Individual Consultant Selection,,,,1.0,OP00264485,Contract Award,2023/05/30,AR-DGPPSE - ADIF-326196-CS-INDV,Buenos Aires – Mitre Passenger Railway Line Modernization Project
P162316,Argentina,2023,World Bank,MDB-financed,IBRD88670,"Public Administration - Agriculture, Fishing & Forestry; Agricultural Extension, Research, and Other Support Activities; ICT Infrastructure; Irrigation and Drainage",works,3600000.0,12.0,IVECOR S.A.,,,,,Request for Bids,,,,1.0,OP00263529,Contract Award,2023/11/23,AR-UCAR-377157-CW-RFB,Integrated Risk Management in the Rural Agroindustrial System
P162316,Argentina,2023,World Bank,MDB-financed,IBRD88670,"Public Administration - Agriculture, Fishing & Forestry; Agricultural Extension, Research, and Other Support Activities; ICT Infrastructure; Irrigation and Drainage",works,3510607.0,18.0,SYLPA S.R.L.,,,,,Request for Bids,,,,1.0,OP00263578,Contract Award,2023/11/16,AR-UCAR-311331-CW-RFB,Integrated Risk Management in the Rural Agroindustrial System
P161798,Argentina,2023,World Bank,MDB-financed,IBRD87360,"Irrigation and Drainage; Other Water Supply, Sanitation and Waste Management; Public Administration - Water, Sanitation and Waste Management",consulting,16553.0,6.0,,,,,,Individual Consultant Selection,,,,1.0,OP00263352,Contract Award,2023/09/29,AR-UCEPO-356360-CS-INDV,Salado Integrated River Basin Management Support Project
P159929,Argentina,2023,World Bank,MDB-financed,IBRD87120,Sub-National Government; Public Administration - Financial Sector,consulting,93800.0,,GRUPO SIETE SOLUCIONES INTEGRALES SRL,,,,,Request for Quotations,,,,1.0,OP00262587,Contract Award,2023/03/30,AR-MDTH-343425-NC-RFQ,Integrated Habitat and Housing Project
P176781,Argentina,2023,World Bank,MDB-financed,IBRD93370,Social Protection; Public Administration - Social Protection,consulting,120000.0,,IRAM,,,,,Direct Selection,,,,1.0,OP00262638,Contract Award,2023/07/28,AR-MTESS-350023-NC-DIR,Promoting Better Jobs through Integrated Labor and Skills Programs
P145686,Argentina,2023,World Bank,MDB-financed,IBRD86280,"Other Water Supply, Sanitation and Waste Management; Other Transportation; Other Public Administration; Public Administration - Water, Sanitation and Waste Management; Other Water Supply, Sanitation and Waste Management; Other Transportation; Other Public Administration; Public Administration - Water, Sanitation and Waste Management",consulting,5000.0,6.0,,,,,,Individual Consultant Selection,,,,1.0,OP00261937,Contract Award,2023/04/01,AR-UFOMC-392393-CS-INDV,AR Flood Risk Management Support Project for the City of Buenos Aires
P174946,Argentina,2023,World Bank,MDB-financed,IBRD92240,ICT Infrastructure; Central Government (Central Agencies); ICT Services,consulting,40000.0,1.0,,,,,,Individual Consultant Selection,,,,1.0,OP00261761,Contract Award,2023/11/27,AR-SIP-393278-CS-INDV,Digital Inclusion and Innovation in Public Services in Argentina
P145686,Argentina,2023,World Bank,MDB-financed,IBRD86280,"Other Water Supply, Sanitation and Waste Management; Other Transportation; Other Public Administration; Public Administration - Water, Sanitation and Waste Management; Other Water Supply, Sanitation and Waste Management; Other Transportation; Other Public Administration; Public Administration - Water, Sanitation and Waste Management",consulting,5000.0,4.0,,,,,,Individual Consultant Selection,,,,1.0,OP00261748,Contract Award,2023/04/01,AR-UFOMC-392399-CS-INDV,AR Flood Risk Management Support Project for the City of Buenos Aires
P174946,Argentina,2023,World Bank,MDB-financed,IBRD92240,ICT Infrastructure; Central Government (Central Agencies); ICT Services,consulting,40000.0,1.0,,,,,,Individual Consultant Selection,,,,1.0,OP00261757,Contract Award,2023/11/27,AR-SIP-393278-CS-INDV,Digital Inclusion and Innovation in Public Services in Argentina
P174946,Argentina,2023,World Bank,MDB-financed,IBRD92240,ICT Infrastructure; Central Government (Central Agencies); ICT Services,consulting,33000.0,1.0,,,,,,Individual Consultant Selection,,,,1.0,OP00261686,Contract Award,2023/11/27,AR-SIP-393279-CS-INDV,Digital Inclusion and Innovation in Public Services in Argentina
P174946,Argentina,2023,World Bank,MDB-financed,IBRD92240,ICT Infrastructure; Central Government (Central Agencies); ICT Services,consulting,60000.0,1.0,,,,,,Individual Consultant Selection,,,,1.0,OP00261693,Contract Award,2023/11/27,AR-SIP-393272-CS-INDV,Digital Inclusion and Innovation in Public Services in Argentina
P174946,Argentina,2023,World Bank,MDB-financed,IBRD92240,ICT Infrastructure; Central Government (Central Agencies); ICT Services,consulting,38000.0,1.0,,,,,,Individual Consultant Selection,,,,1.0,OP00261700,Contract Award,2023/11/27,AR-SIP-393273-CS-INDV,Digital Inclusion and Innovation in Public Services in Argentina
P174946,Argentina,2023,World Bank,MDB-financed,IBRD92240,ICT Infrastructure; Central Government (Central Agencies); ICT Services,consulting,75000.0,1.0,,,,,,Individual Consultant Selection,,,,1.0,OP00261737,Contract Award,2023/11/27,AR-SIP-393275-CS-INDV,Digital Inclusion and Innovation in Public Services in Argentina
