project_id,project_name,notice_type,notice_no,data_source,record_id,bid_reference_no,contract_url,country,year_awarded,date_awarded,awarded_date,sector,sector_reclassify,project_type,procurement_channel,funding_source,financing_linked_to_bid,financing_source_chinese,contract_value_usd,contract_currency,contract_amount,contract_duration_original_unit,contract_duration_original,contract_duration_days,winning_firm_name,winning_firm_name_zh,winning_firm_code,winning_firm_country,winning_firm_is_chinese,winning_firm_is_soe,joint_venture,firm_registered_locally
P177741,Guyana Strengthening Human Capital through Education Project,Contract,1854180,World Bank,1854180,GY-MOE-400689-CW-RFB,https://projects.worldbank.org/en/projects-operations/contractoverview/1854180,Guyana,2025,2025-07-31,2025-07-31,Education,Education,Works,Project procurement contracts,,,,3590053.98,,,,,,SHANDONG HIGH- SPEED DEJIAN GROUP LIMITED,山东高速德建集团有限公司,951020,China,1,1,0,0.0
P177741,Guyana Strengthening Human Capital through Education Project,Contract,1854432,World Bank,1854432,GY-MOE-465937-CW-RFB,https://projects.worldbank.org/en/projects-operations/contractoverview/1854432,Guyana,2025,2025-06-23,2025-06-23,Education,Education,Works,Project procurement contracts,,,,12825508.27,,,,,,POWERCHINA JIANGXI ELECTRIC POWER CONSTRUCTION COMPANY LIMITED,中国电力建设集团有限公司江西电力建设分公司,951030,China,1,1,0,0.0
P167339,Sint Maarten Emergency Recovery Project I,Contract,1834786,World Bank,1834786,SX-NRPB-387097-CW-RFB-1,https://projects.worldbank.org/en/projects-operations/contractoverview/1834786,St Maarten,2025,2025-04-15,2025-04-15,Public Admin; Energy & Extractives; Water/Sanit/Waste; Industry & Trade/Ser,"Water, Sanitation & Waste",Works,Project procurement contracts,,,,5111083.31,,,,,,ZHENJIANG NO.2 CONSTRUCTION ENGINEERING CO. LTD,镇江市第二建筑工程有限公司,804878,China,1,1,0,0.0
P167339,Sint Maarten Emergency Recovery Project I,Contract,1818274,World Bank,1818274,SX-NRPB-386118-CW-RFB,https://projects.worldbank.org/en/projects-operations/contractoverview/1818274,St Maarten,2025,2025-01-06,2025-01-06,Public Admin; Energy & Extractives; Water/Sanit/Waste; Industry & Trade/Ser,"Water, Sanitation & Waste",Works,Project procurement contracts,,,,3583836.72,,,,,,ZHENJIANG NO.2 CONSTRUCTION ENGINEERING CO. LTD,镇江市第二建筑工程有限公司,752542,China,1,1,0,0.0
P167339,Sint Maarten Emergency Recovery Project I,Contract,1818269,World Bank,1818269,SX-NRPB-386924-CW-RFB,https://projects.worldbank.org/en/projects-operations/contractoverview/1818269,St Maarten,2025,2025-01-06,2025-01-06,Public Admin; Energy & Extractives; Water/Sanit/Waste; Industry & Trade/Ser,"Water, Sanitation & Waste",Works,Project procurement contracts,,,,3999995.59,,,,,,ZHENJIANG NO.2 CONSTRUCTION ENGINEERING CO. LTD,镇江市第二建筑工程有限公司,804878,China,1,1,0,0.0
P163345,Supporting Effective Universal Health Coverage in Argentina,Contract,1836455,World Bank,1836455,AR-MSAL-200462-GO-RFB,https://projects.worldbank.org/en/projects-operations/contractoverview/1836455,Argentina,2024,2024-05-28,2024-05-28,Health,Health,Goods,Project procurement contracts,,,,337500.0,,,,,,NINGBO DAVID MEDICAL DEVICE CO. LIMITED,宁波大卫医疗器械有限公司,614203,China,1,0,0,0.0
P163345,Supporting Effective Universal Health Coverage in Argentina,Contract,1836449,World Bank,1836449,AR-MSAL-200462-GO-RFB,https://projects.worldbank.org/en/projects-operations/contractoverview/1836449,Argentina,2024,2024-05-20,2024-05-20,Health,Health,Goods,Project procurement contracts,,,,652000.0,,,,,,VINNO TECHNOLOGY CO.,飞依诺科技有限公司,724378,China,1,0,0,0.0
P171833,Unleashing the Blue Economy of the Caribbean (UBEC),Contract,1834577,World Bank,1834577,GD-MOIID-380067-GO-DIR,https://projects.worldbank.org/en/projects-operations/contractoverview/1834577,Caribbean,2024,2024-01-04,2024-01-04,,Agriculture,Goods,Project procurement contracts,,,,14582.0,,,,,,INFITEK CO LTD,英菲泰克有限公司,823020,China,1,0,0,0.0
P159519,Guyana Education Sector Improvement Project,Contract,1802525,World Bank,1802525,GESIP/RFB/CW-1,https://projects.worldbank.org/en/projects-operations/contractoverview/1802525,Guyana,2023,2023-11-14,2023-11-14,Education,Education,Works,Project procurement contracts,,,,4576224.6,,,,,,SHANDONG HIGH- SPEED DEJIAN GROUP LIMITED,山东高速德建集团有限公司,951020,China,1,1,0,0.0
P164257,Promoting Community-based Climate Resilience in the Fisheries Sector,Contract,1766356,World Bank,1766356,JM-MICAF-368948-GO-RFQ,https://projects.worldbank.org/en/projects-operations/contractoverview/1766356,Jamaica,2023,2023-09-25,2023-09-25,Agriculture,Agriculture,Goods,Project procurement contracts,,,,52245.0,,,,,,ZHENGZHOU RUNXIANG MACHINERY EQUIPMENT,郑州润祥机械设备,830891,China,1,0,0,0.0
P171528,Caribbean Digital Transformation Project,Contract,1733320,World Bank,1733320,SVGCARDTP-C-CQS-2,https://projects.worldbank.org/en/projects-operations/contractoverview/1733320,Caribbean,2022,2022-06-27,2022-06-27,Info & Communication,Digital Economy & ICT,Consultant Services,Project procurement contracts,,,,120000.0,,,,,,CONSULTANCY ASSOCIATES,顾问助理,739740,China,1,0,0,0.0
P167974,Sint Maarten Airport Terminal Reconstruction Project,Contract,1695737,World Bank,1695737,SX-PJIAE-236385-GO-RFB,https://projects.worldbank.org/en/projects-operations/contractoverview/1695737,St Maarten,2022,2022-04-20,2022-04-20,Transportation,Infrastructure & Energy,Goods,Project procurement contracts,,,,2843896.0,,,,,,CIMC-TIANDA NETHERLANDS COOPERATIEF U.A. (NETHERLANDS); SHENZHEN CIMC-TIANDA AIRPORT SUPPORT LTD.,中集天阳集团有限公司,648124; 648131,Netherlands; China,1,1,1,0.0
P175268,Guyana COVID-19 Emergency Response Project,Contract,1762183,World Bank,1762183,GY-G-COVID FTO-278205-GO-DIR,https://projects.worldbank.org/en/projects-operations/contractoverview/1762183,Guyana,2021,2021-12-20,2021-12-20,Health,Health,Goods,Project procurement contracts,,,,26821.0,,,,,,SINOPHARM FORTUNE INTERNATIONAL TRADING CORP,中国医药集团有限公司国际贸易分公司,764868,China,1,1,0,0.0
P173773,Ecuador COVID-19 Emergency Response and Vaccination Project,Contract,1667973,World Bank,1667973,EC-MPH-DFA-246372-GO-DIR,https://projects.worldbank.org/en/projects-operations/contractoverview/1667973,Ecuador,2021,2021-07-31,2021-07-31,Health,Health,Goods,Project procurement contracts,,,,53005000.0,,,,,,"SINOVAC LIFE SCIENCES CO., LTD.",北京科兴中维,599855,China,1,0,0,0.0
P173989,Republic of Trinidad and Tobago: COVID-19 EMERGENCY RESPONSE PROJECT,Contract,1802841,World Bank,1802841,TT-MOH-348518-GO-DIR,https://projects.worldbank.org/en/projects-operations/contractoverview/1802841,Trinidad and Tobago,2021,2021-06-29,2021-06-29,Health,Health,Goods,Project procurement contracts,,,,7500000.0,,,,,,China National Biotec Group Company Limited,中国生物技术集团有限公司,637472,China,1,1,0,0.0
P175268,Guyana COVID-19 Emergency Response Project,Contract,1716506,World Bank,1716506,GY-G-COVID FTO-296098-GO-DIR,https://projects.worldbank.org/en/projects-operations/contractoverview/1716506,Guyana,2021,2021-06-09,2021-06-09,Health,Health,Goods,Project procurement contracts,,,,1500000.0,,,,,,SINOPHARM INTERNATIONAL HONG KONG LIMITED,国药控股香港有限公司,660752,China,1,0,0,0.0
P173989,Republic of Trinidad and Tobago: COVID-19 EMERGENCY RESPONSE PROJECT,Contract,1802842,World Bank,1802842,TT-MOH-348548-GO-DIR,https://projects.worldbank.org/en/projects-operations/contractoverview/1802842,Trinidad and Tobago,2021,2021-06-06,2021-06-06,Health,Health,Goods,Project procurement contracts,,,,173432.0,,,,,,China National Biotec Group Company Limited,中国生物技术集团有限公司,637472,China,1,1,0,0.0
P173872,El Salvador COVID-19 Emergency Response Project,Contract,1708728,World Bank,1708728,RECOVID-88-DIR-GO,https://projects.worldbank.org/en/projects-operations/contractoverview/1708728,El Salvador,2021,2021-03-10,2021-03-10,Health,Health,Goods,Project procurement contracts,,,,35600000.0,,,,,,"SINOVAC LIFE SCIENCES CO., LTD.",北京科兴中维,599855,China,1,0,0,0.0
P173872,El Salvador COVID-19 Emergency Response Project,Contract,1708381,World Bank,1708381,RECOVID-91-DIR-GO,https://projects.worldbank.org/en/projects-operations/contractoverview/1708381,El Salvador,2021,2021-03-10,2021-03-10,Health,Health,Goods,Project procurement contracts,,,,35000000.0,,,,,,"SINOVAC LIFE SCIENCES CO., LTD.",北京科兴中维,599855,China,1,0,0,0.0
P173872,El Salvador COVID-19 Emergency Response Project,Contract,1690767,World Bank,1690767,RECOVID-49-DIR-GO-2,https://projects.worldbank.org/en/projects-operations/contractoverview/1690767,El Salvador,2021,2021-03-10,2021-03-10,Health,Health,Goods,Project procurement contracts,,,,30000000.0,,,,,,"SINOVAC LIFE SCIENCES CO., LTD.",北京科兴中维,599855,China,1,0,0,0.0
P132505,Cusco Transport Improvement Project,Contract,1640793,World Bank,1640793,PE-COPESCO-157324-CW-RFB,https://projects.worldbank.org/en/projects-operations/contractoverview/1640793,Peru,2020,2020-12-29,2020-12-29,Public Admin; Transportation,Public Admin & Governance,Works,Project procurement contracts,,,,80459594.59,,,,,,China Gezhouba Group Company Limited,中国格洲坝集团有限公司,509146,China,1,1,0,0.0
P173773,Ecuador COVID-19 Emergency Response and Vaccination Project,Contract,1629574,World Bank,1629574,EC-MPH-DFA-186835-GO-DIR,https://projects.worldbank.org/en/projects-operations/contractoverview/1629574,Ecuador,2020,2020-08-10,2020-08-10,Health,Health,Goods,Project procurement contracts,,,,8123688.0,,,,,,COMMANDER HEALTH SUPPLY,指挥官生命值供应,516714,China,1,0,0,0.0
P173861,Honduras COVID-19 Emergency Response Project,Contract,1623204,World Bank,1623204,HN-INVEST-H-174944-GO-DIR,https://projects.worldbank.org/en/projects-operations/contractoverview/1623204,Honduras,2020,2020-06-24,2020-06-24,,Health,Goods,Project procurement contracts,,,,9982525.0,,,,,,China MEHECO Corporation,中国医药对外贸易总公司,492465,China,1,1,0,0.0
P173767,AR: COVID-19 Emergency Response Project,Contract,1620208,World Bank,1620208,GO-DIR-12-2020,https://projects.worldbank.org/en/projects-operations/contractoverview/1620208,Argentina,2020,2020-06-15,2020-06-15,Health,Health,Goods,Project procurement contracts,,,,9864698.26,,,,,,China MEHECO Corporation,中国医药对外贸易总公司,492465,China,1,1,0,0.0
P173811,Haiti COVID-19 Response,Contract,1630969,World Bank,1630969,HT-AF-HEALTH-188378-GO-DIR,https://projects.worldbank.org/en/projects-operations/contractoverview/1630969,Haiti,2020,2020-06-10,2020-06-10,Health,Health,Goods,Project procurement contracts,,,,1020000.0,,,,,,China MEHECO Corporation,中国医药对外贸易总公司,492465,China,1,1,0,0.0
P147277,Distribution Grid Modernization and Loss Reduction Project,Contract,1607231,World Bank,1607231,B-3-6-A-Lote2,https://projects.worldbank.org/en/projects-operations/contractoverview/1607231,Dominican Republic,2020,2020-06-09,2020-06-09,Energy & Extractives,Infrastructure & Energy,Goods,Project procurement contracts,,,,18861.17,,,,,,"Hexing Electrical Co.,Ltd",和兴电气有限公司,162520,China,1,0,0,0.0
P147277,Distribution Grid Modernization and Loss Reduction Project,Contract,1607230,World Bank,1607230,B-3-6-A-Lote1,https://projects.worldbank.org/en/projects-operations/contractoverview/1607230,Dominican Republic,2020,2020-06-09,2020-06-09,Energy & Extractives,Infrastructure & Energy,Goods,Project procurement contracts,,,,283871.1,,,,,,"Hexing Electrical Co.,Ltd",和兴电气有限公司,162520,China,1,0,0,0.0
P147277,Distribution Grid Modernization and Loss Reduction Project,Contract,1607216,World Bank,1607216,B-3-6-A-Lote3,https://projects.worldbank.org/en/projects-operations/contractoverview/1607216,Dominican Republic,2020,2020-06-09,2020-06-09,Energy & Extractives,Infrastructure & Energy,Goods,Project procurement contracts,,,,146183.95,,,,,,"Hexing Electrical Co.,Ltd",和兴电气有限公司,162520,China,1,0,0,0.0
P173767,AR: COVID-19 Emergency Response Project,Contract,1620679,World Bank,1620679,GO-DIR-06-2020,https://projects.worldbank.org/en/projects-operations/contractoverview/1620679,Argentina,2020,2020-04-16,2020-04-16,Health,Health,Goods,Project procurement contracts,,,,2395750.0,,,,,,SHENZHEN SED INDUSTRY CO.,深圳市桑达实业股份有限公司,497011,China,1,1,0,0.0
P173767,AR: COVID-19 Emergency Response Project,Contract,1615872,World Bank,1615872,GO-DIR-05-2020,https://projects.worldbank.org/en/projects-operations/contractoverview/1615872,Argentina,2020,2020-04-13,2020-04-13,Health,Health,Goods,Project procurement contracts,,,,400000.0,,,,,,INTCO MEDICAL (HK) CO.,英科医疗（香港）有限公司,487362,China,1,0,0,0.0
P173767,AR: COVID-19 Emergency Response Project,Contract,1615865,World Bank,1615865,GO-DIR-04-2020,https://projects.worldbank.org/en/projects-operations/contractoverview/1615865,Argentina,2020,2020-04-13,2020-04-13,Health,Health,Goods,Project procurement contracts,,,,660600.0,,,,,,): SHANGHAI TO-ALL FOREIGN TRADING CO,): 上海通全对外贸易有限公司,487309,China,1,0,0,0.0
P173767,AR: COVID-19 Emergency Response Project,Contract,1615710,World Bank,1615710,GO-DIR-03-2020,https://projects.worldbank.org/en/projects-operations/contractoverview/1615710,Argentina,2020,2020-04-13,2020-04-13,Health,Health,Goods,Project procurement contracts,,,,238200.0,,,,,,BESTLUCK ENTERPRISE,百事达企业,487051,China,1,0,0,0.0
P106735,Provincial Public Health Insurance Development Project,Contract,1606341,World Bank,1606341,AR-MSAL-71694-GO-RFB Lote 1,https://projects.worldbank.org/en/projects-operations/contractoverview/1606341,Argentina,2019,2019-12-09,2019-12-09,Health,Health,Goods,Project procurement contracts,,,,382000.0,,,,,,CHISON MEDICAL TECHNOLOGIES CO,中山医疗科技有限公司,431235,China,1,0,0,0.0
P132515,Support to the Subnational Transport Program Project,Contract,1616717,World Bank,1616717,PE-PROVIAS-163546-CW-RFB,https://projects.worldbank.org/en/projects-operations/contractoverview/1616717,Peru,2019,2019-09-27,2019-09-27,Transportation,Infrastructure & Energy,Works,Project procurement contracts,,,,2283636.21,,,,,,"Jagui S.A.C.; Weihai Construction Group Co., Ltd.",威海建设集团有限公司,489050; 489096,Peru; China,1,1,1,0.0
P106735,Provincial Public Health Insurance Development Project,Contract,1580217,World Bank,1580217,AR-PHIP-640-B-LPI,https://projects.worldbank.org/en/projects-operations/contractoverview/1580217,Argentina,2018,2018-12-10,2018-12-10,Health,Health,Goods,Project procurement contracts,,,,240785.07,,,,,,SHENZHEN MINDRAY BIO-MEDICAL ELECTRONIC CO.,深圳市迈瑞生物医药电子有限公司,542139,China,1,0,0,0.0
P152281,Santa Cruz Road Corridor Connector Project (San Ignacio - San Jose),Contract,1562978,World Bank,1562978,ABC Nro 711/18 GNT-SCT-MRH-BM,https://projects.worldbank.org/en/projects-operations/contractoverview/1562978,Bolivia,2018,2018-09-11,2018-09-11,Transportation,Infrastructure & Energy,Works,Project procurement contracts,,,,112041241.23,,,,,,China State Construction Engineering Corporation Limited,四、中国建筑工程总公司,406543,China,1,1,0,0.0
P106752,Unleashing Productive Innovation Project,Contract,1562888,World Bank,1562888,8634 - AR-MINCYT-28511-GO-RFB,https://projects.worldbank.org/en/projects-operations/contractoverview/1562888,Argentina,2018,2018-07-05,2018-07-05,Info & Communication; Education; Industry & Trade/Ser,Education,Goods,Project procurement contracts,,,,2402000.0,,,,,,LENOVO GLOBAL TECHNOLOGY HK LIMITED,联想环球科技香港有限公司,369143,China,1,0,0,0.0
P101504,Second Bolsa Família,Contract,1566879,World Bank,1566879,3B23 -CS-SNPDH,https://projects.worldbank.org/en/projects-operations/contractoverview/1566879,Brazil,2018,2018-05-28,2018-05-28,Social Protection,,Consultant Services,Project procurement contracts,,,,25764.23,,,,,,INDIVIDUAL CONSULTANT,个人顾问,03ee2bf4e77f869d,China,1,0,0,0.0
P144597,BO Road Sector Capacity Development Project,Contract,1560811,World Bank,1560811,ABC No 495/18 GNT-SCV-MRH-BM,https://projects.worldbank.org/en/projects-operations/contractoverview/1560811,Bolivia,2018,2018-05-17,2018-05-17,Transportation,Infrastructure & Energy,Works,Project procurement contracts,,,,44871933.48,,,,,,CHINA HARBOUR ENGINEERING COMPANY LIMITED; CCCC SECOND HIGWAY ENGINEERING CO. LTD.,中国港湾工程有限公司；中交第二航运工程有限公司,346455; 346456,China; China,1,1,0,0.0
P144597,BO Road Sector Capacity Development Project,Contract,1560809,World Bank,1560809,ABC No 494/18 GNT-SCV-MRJ-BM,https://projects.worldbank.org/en/projects-operations/contractoverview/1560809,Bolivia,2018,2018-05-17,2018-05-17,Transportation,Infrastructure & Energy,Works,Project procurement contracts,,,,25877790.61,,,,,,CHINA HARBOUR ENGINEERING COMPANY LIMITED; CCCC SECOND HIGWAY ENGINEERING CO. LTD.,中国港湾工程有限公司；中交第二航运工程有限公司,346455; 346456,China; China,1,1,0,0.0
P152096,Supporting Education Reform in Targeted Circuits,Contract,1554457,World Bank,1554457,BIRF-8542-LPI-B-2016-001,https://projects.worldbank.org/en/projects-operations/contractoverview/1554457,Ecuador,2018,2018-04-12,2018-04-12,Education,Education,Goods,Project procurement contracts,,,,5893050.24,,,,,,HAIER INTERNATIONAL BUSSINESS CORPORATION LIMITED,海尔国际商务股份有限公司,349042,China,1,0,0,0.0
P117157,STRENGTHENING PUBLIC HEALTH CARE SYSTEM,Contract,1543474,World Bank,1543474,FSSPSV-281-LPI-B,https://projects.worldbank.org/en/projects-operations/contractoverview/1543474,El Salvador,2017,2017-02-03,2017-02-03,,Health,Goods,Project procurement contracts,,,,39157.44,,,,,,CONSORCIO JORMAR S.A.,CONSORCIO JORMAR S.A.,329063,China,1,0,0,0.0
P117157,STRENGTHENING PUBLIC HEALTH CARE SYSTEM,Contract,1543384,World Bank,1543384,No. FSSPSV-277-LPI-B,https://projects.worldbank.org/en/projects-operations/contractoverview/1543384,El Salvador,2016,2016-11-21,2016-11-21,,Health,Goods,Project procurement contracts,,,,2277836.83,,,,,,CONSORCIO JORMAR S.A.,CONSORCIO JORMAR S.A.,329063,China,1,0,0,0.0
P114971,PY Energy Sector Strengthening Project,Contract,1542734,World Bank,1542734,6560/2016,https://projects.worldbank.org/en/projects-operations/contractoverview/1542734,Paraguay,2016,2016-08-17,2016-08-17,Goods,Infrastructure & Energy,4970900.0,Project procurement contracts,,,,,,,,,NARI GROUP CORP.,95543,95543,China,1,,0,0,
P106735,Provincial Public Health Insurance Development Project,Contract,1535131,World Bank,1535131,PHIP-3-LPI-B-8,https://projects.worldbank.org/en/projects-operations/contractoverview/1535131,Argentina,2015,2015-11-09,2015-11-09,Health,Health,Goods,Project procurement contracts,,,,681742.0,,,,,,MR INVESTMENTS (HK) LIMITED,先生投资（香港）有限公司,322913,China,1,0,0,0.0
P117871,Regional Disaster Vulnerability Reduction APL1 - Grenada and St. Vincent and the Grenadines,Contract,1541158,World Bank,1541158,DVRP/NCBW/01,https://projects.worldbank.org/en/projects-operations/contractoverview/1541158,OECS Countries,2015,2015-08-05,2015-08-05,Public Admin; Transportation; Water/Sanit/Waste,"Water, Sanitation & Waste",Works,Project procurement contracts,,,,1096118.31,,,,,,JIANGSU GEOLOGY & ENGINEERING CO. LTD,江苏地质工程有限公司,113557,China,1,0,0,0.0
P114971,PY Energy Sector Strengthening Project,Contract,1530142,World Bank,1530142,764/2014,https://projects.worldbank.org/en/projects-operations/contractoverview/1530142,Paraguay,2015,2015-04-14,2015-04-14,,Infrastructure & Energy,Goods,Project procurement contracts,,,,776196.6,,,,,,NARI GROUP CORP.,南瑞集团有限公司,95543,China,1,1,0,0.0
P114971,PY Energy Sector Strengthening Project,Contract,1527391,World Bank,1527391,ANDE-BIRF N 756/2014,https://projects.worldbank.org/en/projects-operations/contractoverview/1527391,Paraguay,2015,2015-02-17,2015-02-17,,Infrastructure & Energy,Goods,Project procurement contracts,,,,3676416.67,,,,,,NARI GROUP CORPORATION,南瑞集团公司,186085,China,1,1,0,0.0
P114971,PY Energy Sector Strengthening Project,Contract,1527390,World Bank,1527390,ANDE-BIRF N 756/2014,https://projects.worldbank.org/en/projects-operations/contractoverview/1527390,Paraguay,2015,2015-02-17,2015-02-17,,Infrastructure & Energy,Goods,Project procurement contracts,,,,5664660.47,,,,,,NARI GROUP CORPORATION,南瑞集团公司,186085,China,1,1,0,0.0
P114971,PY Energy Sector Strengthening Project,Contract,1527389,World Bank,1527389,ANDE-BIRF N 756/2014,https://projects.worldbank.org/en/projects-operations/contractoverview/1527389,Paraguay,2015,2015-02-17,2015-02-17,,Infrastructure & Energy,Goods,Project procurement contracts,,,,2376304.23,,,,,,NARI GROUP CORPORATION,南瑞集团公司,186085,China,1,1,0,0.0
P106870,Improving Community and Family Health Care Services Project,Contract,1507024,World Bank,1507024,LPI 02/05/2011-Adquisicion Equip Basico,https://projects.worldbank.org/en/projects-operations/contractoverview/1507024,Nicaragua,2013,2013-03-28,2013-03-28,Health,Health,Goods,Project procurement contracts,,,,376160.0,,,,,,SHENZEN MINDRAY BIO-MEDICAL ELECTRONIC,深圳迈瑞生物医用电子,304538,China,1,0,0,0.0
P111996,Upgrading and Greening the Rio de Janeiro Urban Rail System,Contract,1327057,World Bank,1327057,No. 018/ASJUR/12,https://projects.worldbank.org/en/projects-operations/contractoverview/1327057,Brazil,2012,2012-10-24,2012-10-24,,Infrastructure & Energy,Goods,Project procurement contracts,,,,358482289.23,,,,,,"CHINA NATIONAL MACHINERY IMP & EXP-CMC; CNR CHANGCHUN RAILWAY VEHICLES CO, LTD",中国机械进出口集团有限公司；中国国铁集团长春车辆厂,172213; 172214,China; China,1,1,0,0.0
