project_id,notice_type,notice_no,country,year_awarded,date_awarded,data_source,procurement_channel,funding_source,sector,project_type,contract_value_usd,contract_currency,contract_amount,contract_duration_original_unit,contract_duration_original,contract_duration_days,winning_firm_name,winning_firm_code,winning_firm_country,winning_firm_is_chinese,winning_firm_is_soe,number_of_bidders,if_single_bidder,bidder_country_lowest_price,bidder_lowest_price,bidder_country,bidder_price_currency,bidder_price,procurement_method,financing_linked_to_bid,financing_source_chinese,joint_venture,firm_registered_locally,record_id,awarded_date,bid_reference_no,project_name,contract_url
P177741,Contract,1854180,Guyana,2025,2025-07-31,World Bank,Project procurement contracts,,Education,Works,3590053.98,,,,,,SHANDONG HIGH- SPEED DEJIAN GROUP LIMITED,951020,China,1,,,,,,,,,Request for Bids,,,,0,1854180,2025-07-31,GY-MOE-400689-CW-RFB,Guyana Strengthening Human Capital through Education Project,https://projects.worldbank.org/en/projects-operations/contractoverview/1854180
P177741,Contract,1854432,Guyana,2025,2025-06-23,World Bank,Project procurement contracts,,Education,Works,12825508.27,,,,,,POWERCHINA JIANGXI ELECTRIC POWER CONSTRUCTION COMPANY LIMITED,951030,China,1,,,,,,,,,Request for Bids,,,,0,1854432,2025-06-23,GY-MOE-465937-CW-RFB,Guyana Strengthening Human Capital through Education Project,https://projects.worldbank.org/en/projects-operations/contractoverview/1854432
P167339,Contract,1834786,St Maarten,2025,2025-04-15,World Bank,Project procurement contracts,,Public Admin; Energy & Extractives; Water/Sanit/Waste; Industry & Trade/Ser,Works,5111083.31,,,,,,ZHENJIANG NO.2 CONSTRUCTION ENGINEERING CO. LTD,804878,China,1,,,,,,,,,Request for Bids,,,,0,1834786,2025-04-15,SX-NRPB-387097-CW-RFB-1,Sint Maarten Emergency Recovery Project I,https://projects.worldbank.org/en/projects-operations/contractoverview/1834786
P167339,Contract,1818274,St Maarten,2025,2025-01-06,World Bank,Project procurement contracts,,Public Admin; Energy & Extractives; Water/Sanit/Waste; Industry & Trade/Ser,Works,3583836.72,,,,,,ZHENJIANG NO.2 CONSTRUCTION ENGINEERING CO. LTD,752542,China,1,,,,,,,,,Request for Bids,,,,0,1818274,2025-01-06,SX-NRPB-386118-CW-RFB,Sint Maarten Emergency Recovery Project I,https://projects.worldbank.org/en/projects-operations/contractoverview/1818274
P167339,Contract,1818269,St Maarten,2025,2025-01-06,World Bank,Project procurement contracts,,Public Admin; Energy & Extractives; Water/Sanit/Waste; Industry & Trade/Ser,Works,3999995.59,,,,,,ZHENJIANG NO.2 CONSTRUCTION ENGINEERING CO. LTD,804878,China,1,,,,,,,,,Request for Bids,,,,0,1818269,2025-01-06,SX-NRPB-386924-CW-RFB,Sint Maarten Emergency Recovery Project I,https://projects.worldbank.org/en/projects-operations/contractoverview/1818269
P163345,Contract,1836455,Argentina,2024,2024-05-28,World Bank,Project procurement contracts,,Health,Goods,337500.0,,,,,,NINGBO DAVID MEDICAL DEVICE CO. LIMITED,614203,China,1,,,,,,,,,Request for Bids,,,,0,1836455,2024-05-28,AR-MSAL-200462-GO-RFB,Supporting Effective Universal Health Coverage in Argentina,https://projects.worldbank.org/en/projects-operations/contractoverview/1836455
P163345,Contract,1836449,Argentina,2024,2024-05-20,World Bank,Project procurement contracts,,Health,Goods,652000.0,,,,,,VINNO TECHNOLOGY CO.,724378,China,1,,,,,,,,,Request for Bids,,,,0,1836449,2024-05-20,AR-MSAL-200462-GO-RFB,Supporting Effective Universal Health Coverage in Argentina,https://projects.worldbank.org/en/projects-operations/contractoverview/1836449
P171833,Contract,1834577,Caribbean,2024,2024-01-04,World Bank,Project procurement contracts,,,Goods,14582.0,,,,,,INFITEK CO LTD,823020,China,1,,,,,,,,,Direct Selection,,,,0,1834577,2024-01-04,GD-MOIID-380067-GO-DIR,Unleashing the Blue Economy of the Caribbean (UBEC),https://projects.worldbank.org/en/projects-operations/contractoverview/1834577
P159519,Contract,1802525,Guyana,2023,2023-11-14,World Bank,Project procurement contracts,,Education,Works,4576224.6,,,,,,SHANDONG HIGH- SPEED DEJIAN GROUP LIMITED,951020,China,1,,,,,,,,,Request for Bids,,,,0,1802525,2023-11-14,GESIP/RFB/CW-1,Guyana Education Sector Improvement Project,https://projects.worldbank.org/en/projects-operations/contractoverview/1802525
P164257,Contract,1766356,Jamaica,2023,2023-09-25,World Bank,Project procurement contracts,,Agriculture,Goods,52245.0,,,,,,ZHENGZHOU RUNXIANG MACHINERY EQUIPMENT,830891,China,1,,,,,,,,,Request for Quotations,,,,0,1766356,2023-09-25,JM-MICAF-368948-GO-RFQ,Promoting Community-based Climate Resilience in the Fisheries Sector,https://projects.worldbank.org/en/projects-operations/contractoverview/1766356
P171528,Contract,1733320,Caribbean,2022,2022-06-27,World Bank,Project procurement contracts,,Info & Communication,Consultant Services,120000.0,,,,,,CONSULTANCY ASSOCIATES,739740,China,1,,,,,,,,,Consultant Qualification  Selection,,,,0,1733320,2022-06-27,SVGCARDTP-C-CQS-2,Caribbean Digital Transformation Project,https://projects.worldbank.org/en/projects-operations/contractoverview/1733320
