name,name_zh,source,ref
SHANDONG HIGH- SPEED DEJIAN GROUP LIMITED,山东高速德建集团有限公司,machine_translated:mymemory,https://api.mymemory.translated.net/get
POWERCHINA JIANGXI ELECTRIC POWER CONSTRUCTION COMPANY LIMITED,POWERCHINA江西省电力建设有限公司,machine_translated:mymemory,https://api.mymemory.translated.net/get
ZHENJIANG NO.2 CONSTRUCTION ENGINEERING CO. LTD,镇江市第二建筑工程有限公司,machine_translated:mymemory,https://api.mymemory.translated.net/get
NINGBO DAVID MEDICAL DEVICE CO. LIMITED,宁波大卫医疗器械有限公司,machine_translated:mymemory,https://api.mymemory.translated.net/get
VINNO TECHNOLOGY CO.,VINNO TECHNOLOGY Co.,machine_translated:mymemory,https://api.mymemory.translated.net/get
INFITEK CO LTD,INFITEK CO LTD,machine_translated:mymemory,https://api.mymemory.translated.net/get
ZHENGZHOU RUNXIANG MACHINERY EQUIPMENT,郑州润祥机械设备,machine_translated:mymemory,https://api.mymemory.translated.net/get
CONSULTANCY ASSOCIATES,顾问助理,machine_translated:mymemory,https://api.mymemory.translated.net/get
CIMC-TIANDA NETHERLANDS COOPERATIEF U.A. (NETHERLANDS); SHENZHEN CIMC-TIANDA AIRPORT SUPPORT LTD.,CIMC-TIANDA NETHERLAND COOPERATIEF U.A. （荷兰） ；深圳市CIMC-TIANDA机场支持有限公司,machine_translated:mymemory,https://api.mymemory.translated.net/get
SINOPHARM FORTUNE INTERNATIONAL TRADING CORP,国药FORTUNE INTERNATIONAL TRADING CO,machine_translated:mymemory,https://api.mymemory.translated.net/get
"SINOVAC LIFE SCIENCES CO., LTD.",北京科兴中维,machine_translated:mymemory,https://api.mymemory.translated.net/get
China National Biotec Group Company Limited,中国生物技术集团有限公司,machine_translated:mymemory,https://api.mymemory.translated.net/get
SINOPHARM INTERNATIONAL HONG KONG LIMITED,国药控股香港有限公司,machine_translated:mymemory,https://api.mymemory.translated.net/get
China Gezhouba Group Company Limited,中国格洲坝集团有限公司,machine_translated:mymemory,https://api.mymemory.translated.net/get
COMMANDER HEALTH SUPPLY,指挥官生命值供应,machine_translated:mymemory,https://api.mymemory.translated.net/get
China MEHECO Corporation,中国MEHECO公司,machine_translated:mymemory,https://api.mymemory.translated.net/get
"Hexing Electrical Co.,Ltd",和兴电气有限公司,machine_translated:mymemory,https://api.mymemory.translated.net/get
SHENZHEN SED INDUSTRY CO.,深圳市桑达实业股份有限公司,machine_translated:mymemory,https://api.mymemory.translated.net/get
INTCO MEDICAL (HK) CO.,INTCO MEDICAL (HK) CO.,machine_translated:mymemory,https://api.mymemory.translated.net/get
): SHANGHAI TO-ALL FOREIGN TRADING CO,） ： SHANGHAI TO-ALL FOREIGN TRAD,machine_translated:mymemory,https://api.mymemory.translated.net/get
BESTLUCK ENTERPRISE,BESTLUCK ENTERPRISE,machine_translated:mymemory,https://api.mymemory.translated.net/get
CHISON MEDICAL TECHNOLOGIES CO,CHISON MEDICAL TECHNOL,machine_translated:mymemory,https://api.mymemory.translated.net/get
"Jagui S.A.C.; Weihai Construction Group Co., Ltd.",Jagui S.A.C. ；威海建设集团有限公司,machine_translated:mymemory,https://api.mymemory.translated.net/get
SHENZHEN MINDRAY BIO-MEDICAL ELECTRONIC CO.,深圳市迈瑞生物医药电子有限公司,machine_translated:mymemory,https://api.mymemory.translated.net/get
China State Construction Engineering Corporation Limited,四、中国建筑工程总公司,machine_translated:mymemory,https://api.mymemory.translated.net/get
LENOVO GLOBAL TECHNOLOGY HK LIMITED,联想环球科技香港有限公司,machine_translated:mymemory,https://api.mymemory.translated.net/get
INDIVIDUAL CONSULTANT,个人顾问,machine_translated:mymemory,https://api.mymemory.translated.net/get
CHINA HARBOUR ENGINEERING COMPANY LIMITED; CCCC SECOND HIGWAY ENGINEERING CO. LTD.,中国港湾工程有限公司；中交第二航运工程有限公司,machine_translated:mymemory,https://api.mymemory.translated.net/get
