year_awarded,date_awarded,notice_type,notice_id,contract_name,project_id,project_name,sector,sector_reclassifcation,project_type,procurement_channel,data_source,record_id,bid_reference_no,contract_url,country,contract_value_usd,contract_currency,winning_firm_name,winning_firm_name_zh,winning_firm_code,winning_firm_country,winning_firm_is_chinese,winning_firm_is_soe,joint_venture,firm_registered_locally
2025,2025-07-31,Contract,1854180,Construction of the New Industrial Block at Annandale Secondary School,P177741,Guyana Strengthening Human Capital through Education Project,Education,Education,Works,Project procurement contracts,World Bank,1854180,GY-MOE-400689-CW-RFB,https://projects.worldbank.org/en/projects-operations/contractoverview/1854180,Guyana,3590053.98,USD,SHANDONG HIGH- SPEED DEJIAN GROUP LIMITED,山东高速德建集团有限公司,951020,China,1,1,0,0.0
2025,2025-06-23,Contract,1854432,Construction of the New Christianburg Multilateral School,P177741,Guyana Strengthening Human Capital through Education Project,Education,Education,Works,Project procurement contracts,World Bank,1854432,GY-MOE-465937-CW-RFB,https://projects.worldbank.org/en/projects-operations/contractoverview/1854432,Guyana,12825508.27,USD,POWERCHINA JIANGXI ELECTRIC POWER CONSTRUCTION COMPANY LIMITED,中国电力建设集团有限公司江西电力建设分公司,951030,China,1,1,0,0.0
2025,2025-04-15,Contract,1834786,Expansion of F&A and New EOC Building,P167339,Sint Maarten Emergency Recovery Project I,Public Admin; Energy & Extractives; Water/Sanit/Waste; Industry & Trade/Ser,"Water, Sanitation & Waste",Works,Project procurement contracts,World Bank,1834786,SX-NRPB-387097-CW-RFB-1,https://projects.worldbank.org/en/projects-operations/contractoverview/1834786,St Maarten,5111083.31,USD,ZHENJIANG NO.2 CONSTRUCTION ENGINEERING CO. LTD,镇江市第二建筑工程有限公司,804878,China,1,1,0,0.0
2025,2025-01-06,Contract,1818274,Renovation of School Gyms,P167339,Sint Maarten Emergency Recovery Project I,Public Admin; Energy & Extractives; Water/Sanit/Waste; Industry & Trade/Ser,"Water, Sanitation & Waste",Works,Project procurement contracts,World Bank,1818274,SX-NRPB-386118-CW-RFB,https://projects.worldbank.org/en/projects-operations/contractoverview/1818274,St Maarten,3583836.72,USD,ZHENJIANG NO.2 CONSTRUCTION ENGINEERING CO. LTD,镇江市第二建筑工程有限公司,752542,China,1,1,0,0.0
2025,2025-01-06,Contract,1818269,Renovation of Sports Facilities,P167339,Sint Maarten Emergency Recovery Project I,Public Admin; Energy & Extractives; Water/Sanit/Waste; Industry & Trade/Ser,"Water, Sanitation & Waste",Works,Project procurement contracts,World Bank,1818269,SX-NRPB-386924-CW-RFB,https://projects.worldbank.org/en/projects-operations/contractoverview/1818269,St Maarten,3999995.59,USD,ZHENJIANG NO.2 CONSTRUCTION ENGINEERING CO. LTD,镇江市第二建筑工程有限公司,804878,China,1,1,0,0.0
2024,2024-05-28,Contract,1836455,Lote10: Reanimador Neonatal tipo Neopuff,P163345,Supporting Effective Universal Health Coverage in Argentina,Health,Health,Goods,Project procurement contracts,World Bank,1836455,AR-MSAL-200462-GO-RFB,https://projects.worldbank.org/en/projects-operations/contractoverview/1836455,Argentina,337500.0,USD,NINGBO DAVID MEDICAL DEVICE CO. LIMITED,宁波大卫医疗器械有限公司,614203,China,1,0,0,0.0
2024,2024-05-20,Contract,1836449,Lote 2: Ecodoppler de alta complejidad,P163345,Supporting Effective Universal Health Coverage in Argentina,Health,Health,Goods,Project procurement contracts,World Bank,1836449,AR-MSAL-200462-GO-RFB,https://projects.worldbank.org/en/projects-operations/contractoverview/1836449,Argentina,652000.0,USD,VINNO TECHNOLOGY CO.,飞依诺科技有限公司,724378,China,1,0,0,0.0
2024,2024-01-04,Contract,1834577,Procurement of (Chiller and Freeze Dryer) for Agro Processing,P171833,Unleashing the Blue Economy of the Caribbean (UBEC),,Agriculture,Goods,Project procurement contracts,World Bank,1834577,GD-MOIID-380067-GO-DIR,https://projects.worldbank.org/en/projects-operations/contractoverview/1834577,Caribbean,14582.0,USD,INFITEK CO LTD,英菲泰克有限公司,823020,China,1,0,0,0.0
2023,2023-11-14,Contract,1802525,"Construction of the Faculty of Health Sciences Building, Turkeyen Campus, University of Guyana",P159519,Guyana Education Sector Improvement Project,Education,Education,Works,Project procurement contracts,World Bank,1802525,GESIP/RFB/CW-1,https://projects.worldbank.org/en/projects-operations/contractoverview/1802525,Guyana,4576224.6,USD,SHANDONG HIGH- SPEED DEJIAN GROUP LIMITED,山东高速德建集团有限公司,951020,China,1,1,0,0.0
2023,2023-09-25,Contract,1766356,PROCUREMENT OF EQUIPMENT FOR FISH FEED PRODUCTION,P164257,Promoting Community-based Climate Resilience in the Fisheries Sector,Agriculture,Agriculture,Goods,Project procurement contracts,World Bank,1766356,JM-MICAF-368948-GO-RFQ,https://projects.worldbank.org/en/projects-operations/contractoverview/1766356,Jamaica,52245.0,USD,ZHENGZHOU RUNXIANG MACHINERY EQUIPMENT,郑州润祥机械设备,830891,China,1,0,0,0.0
