name,old_name_zh,new_name_zh,source
): SHANGHAI TO-ALL FOREIGN TRADING CO,） ： SHANGHAI TO-ALL FOREIGN TRAD,): 上海通全对外贸易有限公司,machine_translated:google
95543,95543,95543,machine_translated:mymemory
ARGON; ST. FRANCIS MEDICAL,ARGON ； St. FRANCIS MEDICAL,氩气；英石。方济各医疗,machine_translated:google
ASOCC ACCID S&Z,ASOCC ACCID S&Z,ASOCC ACCID S&Z,machine_translated:mymemory
ASOCIACION ACCIDENTAL S&Z,ASOCIACION意外S&Z,ASOCIACION意外S&Z,machine_translated:mymemory
AVIC INT HOLDING CORP,中航国际控股股份有限公司,中航国际控股股份有限公司,machine_translated:mymemory
BESTLUCK ENTERPRISE,BESTLUCK ENTERPRISE,百事达企业,machine_translated:google
BGI HEALTH (HK) CO. LTD,华大健康（香港）有限公司,华大健康（香港）有限公司,machine_translated:mymemory
CHANGJIANG INSTITUTE OF SURVEY PLANNIG DESING AND RESEARCH,长江测量研究院PLANNIG设计与研究,长江测量研究院PLANNIG设计与研究,machine_translated:mymemory
CHINA HARBOUR ENGINEERING COMPANY LIMITED; CCCC SECOND HIGWAY ENGINEERING CO. LTD.,中国港湾工程有限公司；中交第二航运工程有限公司,中国港湾工程有限公司；中交第二航运工程有限公司,machine_translated:mymemory
CHINA MACHINERY ENGINEERI,CHINA MACHINERY ENGINEERI,中国机械工程,machine_translated:google
CHINA MEHECO CORPORATION,中国MEHECO公司,中国MEHECO公司,machine_translated:mymemory
CHINA NAT CABLE ENG. CO.,中国NAT电缆工程有限公司,中国NAT电缆工程有限公司,machine_translated:mymemory
CHINA NATIONAL COMPLETE PLANT IMPORT & EXPORT SHANGHAI CORPORATION,中国成套设备进出口股份有限公司,中国成套设备进出口股份有限公司,machine_translated:mymemory
CHINA NATIONAL COMPLETE PLANT IMPORT & EXPORT SHANGHAI CORPORATION; C.O. WILLIAMS (ST. LUCIA) LTD.,中国成套设备进出口上海公司； C.O.威廉姆斯（圣卢西亚）有限公司,中国成套设备进出口上海公司； C.O.威廉姆斯（圣卢西亚）有限公司,machine_translated:mymemory
"CHINA NATIONAL MACHINERY IMP & EXP-CMC; CNR CHANGCHUN RAILWAY VEHICLES CO, LTD",中国机械进出口-CMC ； CNR长春铁路车辆有限公司,中国机械进出口-CMC ； CNR长春铁路车辆有限公司,machine_translated:mymemory
CHINA NATIONAL W&C M&X,中国W&C M&X,中国W&C M&X,machine_translated:mymemory
CHINA ROAD AND BRIDGE COR,中国路桥COR,中国路桥COR,machine_translated:mymemory
CHINANAT.ELEC W&CIMP/EXP,CHINANAT.ELEC W&CIMP/EXP,中国国际电力展览会&CIMP/EXP,machine_translated:google
CHINT ELECTRIC CO LTD,正泰电气股份有限公司,正泰电气股份有限公司,machine_translated:mymemory
CHISON MEDICAL TECHNOLOGIES CO,CHISON MEDICAL TECHNOL,中山医疗科技有限公司,machine_translated:google
CIMC-TIANDA NETHERLANDS COOPERATIEF U.A. (NETHERLANDS); SHENZHEN CIMC-TIANDA AIRPORT SUPPORT LTD.,CIMC-TIANDA NETHERLAND COOPERATIEF U.A. （荷兰） ；深圳市CIMC-TIANDA机场支持有限公司,CIMC-TIANDA NETHERLAND COOPERATIEF U.A. （荷兰） ；深圳市CIMC-TIANDA机场支持有限公司,machine_translated:mymemory
CMC-CSEEC CONSORTIUM,CMC-CSEEC财团,CMC-CSEEC财团,machine_translated:mymemory
CMEC - SINOPHARMINTL CONS,CMEC - SINOPHARMINTL缺点,CMEC - SINOPHARMINTL缺点,machine_translated:mymemory
COMMANDER HEALTH SUPPLY,指挥官生命值供应,指挥官生命值供应,machine_translated:mymemory
CONSORCIO JORMAR S.A.,CONSORCIO JORMAR S.A.,CONSORCIO JORMAR S.A.,machine_translated:mymemory
CONSORCIOS LONGFOR,CONSORCIOS LONGFOR,财团渴望,machine_translated:google
CONSULTANCY ASSOCIATES,顾问助理,顾问助理,machine_translated:mymemory
China Gezhouba Group Company Limited,中国格洲坝集团有限公司,中国格洲坝集团有限公司,machine_translated:mymemory
China MEHECO Corporation,中国MEHECO公司,中国MEHECO公司,machine_translated:mymemory
China National Biotec Group Company Limited,中国生物技术集团有限公司,中国生物技术集团有限公司,machine_translated:mymemory
China State Construction Engineering Corporation Limited,四、中国建筑工程总公司,四、中国建筑工程总公司,machine_translated:mymemory
DONGFANG ELECTRIC,Dongfang Electric,东方电气,machine_translated:google
HAIER INTERNATIONAL BUSSINESS CORPORATION LIMITED,海尔国际商务股份有限公司,海尔国际商务股份有限公司,machine_translated:mymemory
HENAN DINGLI POWER EQUIPM,河南鼎力动力设备有限公司,河南鼎力动力设备有限公司,machine_translated:mymemory
HENGTONG OPTIC ELECTRIC C,亨通光电C,亨通光电C,machine_translated:mymemory
HOLLEY CROPU CO. LTD,HOLLEY CROPU CO. LTD,华立作物有限公司,machine_translated:google
HOLLEY GROUP CO. LTD.,HOLLEY GROUP Co. Ltd.,华立集团有限公司,machine_translated:google
HONG KONG WORLDTRADE CENTERS ASSOC,香港世界贸易中心协会,香港世界贸易中心协会,machine_translated:mymemory
HONGYUAN CONSTRUCTION COM,宏远建设有限公司,宏远建设有限公司,machine_translated:mymemory
"Hexing Electrical Co.,Ltd",和兴电气有限公司,和兴电气有限公司,machine_translated:mymemory
INDIVIDUAL CONSULTANT,个人顾问,个人顾问,machine_translated:mymemory
INFITEK CO LTD,INFITEK CO LTD,英菲泰克有限公司,machine_translated:google
INFOCIVITAS LIMITED,INFOCIVITAS LIMITED,信息有限公司,machine_translated:google
INSTEC-Sino Soar Consortium,INSTEC-Sino Soar财团,INSTEC-Sino Soar财团,machine_translated:mymemory
INTCO MEDICAL (HK) CO.,INTCO MEDICAL (HK) CO.,英科医疗（香港）有限公司,machine_translated:google
JIANGSU GEOLOGY & ENGINEERING CO. LTD,江苏地质工程有限公司,江苏地质工程有限公司,machine_translated:mymemory
"JIANGSU SHUANGHUI POWER DEVELOPMENT CO.,LTD.",江苏双汇电力发展有限公司,江苏双汇电力发展有限公司,machine_translated:mymemory
JIANGZU ZHONGTIAN TEC CO,JIANGZU ZHONGTIAN TEC CO,江祖中天科技有限公司,machine_translated:google
"Jagui S.A.C.; Weihai Construction Group Co., Ltd.",Jagui S.A.C. ；威海建设集团有限公司,Jagui S.A.C. ；威海建设集团有限公司,machine_translated:mymemory
Jiangsu Zhenhuai Construction Group Co. Ltd,江苏振淮建设集团有限公司,江苏振淮建设集团有限公司,machine_translated:mymemory
Joint Venture of SUMEC Complete Equipment & Engineering Co. Ltd and XJ Group Corporation,苏梅克成套设备工程有限公司与XJ集团股份有限公司合资,苏梅克成套设备工程有限公司与XJ集团股份有限公司合资,machine_translated:mymemory
Joint Venture: China Road and Bridge Corporation & Kuldipsingh Infra NV,合资公司：中国路桥股份有限公司& Kuldipsingh Infra NV,合资公司：中国路桥股份有限公司& Kuldipsingh Infra NV,machine_translated:mymemory
LENOVO GLOBAL TECHNOLOGY HK LIMITED,联想环球科技香港有限公司,联想环球科技香港有限公司,machine_translated:mymemory
METRO LINEA 1 S.A.S,METRO LINEA 1 S.A.S,地铁 LINEA 1 S.A.S,machine_translated:google
MR INVESTMENTS (HK) LIMITED,MR INVESTMENTS (HK) LIM,先生投资（香港）有限公司,machine_translated:google
NANJING DAJI STELL TM,南京大吉STELL TM,南京大吉STELL TM,machine_translated:mymemory
NANJING SPEEDY LASER TECH,南京高速激光科技有限公司,南京高速激光科技有限公司,machine_translated:mymemory
NARI GROUP CORP.,NARI GROUP CORP.,南瑞集团有限公司,machine_translated:google
NARI GROUP CORPORATION,NARI GROUP CORP,南瑞集团公司,machine_translated:google
NARI TECHNOLOGY CO LTD,科技有限公司,科技有限公司,machine_translated:mymemory
NINGBO DAVID MEDICAL DEVICE CO. LIMITED,宁波大卫医疗器械有限公司,宁波大卫医疗器械有限公司,machine_translated:mymemory
NUCTECH COMPANY LIMITED,NUCTECH COMPANY LIMITED,同方威视股份有限公司,machine_translated:google
PCI-SINOPHARMINTL CONSORT,PCI-SINOPHARMINTL CONSORT,PCI-国药联合体,machine_translated:google
PEOPLES CABLE GROUP CO LT,PEOPLE CABLE GROUP CO LT,人民电缆集团有限公司,machine_translated:google
PINGGAO GROUP INTERNATIONAL ENGINEERING CO. LTD.,平高集团国际工程有限公司,平高集团国际工程有限公司,machine_translated:mymemory
POWERCHINA JIANGXI ELECTRIC POWER CONSTRUCTION COMPANY LIMITED,POWERCHINA江西省电力建设有限公司,POWERCHINA江西省电力建设有限公司,machine_translated:mymemory
Power China Jhianxi electric power contruction co. Ltd.,Power China Jhianxi电力建设有限公司,Power China Jhianxi电力建设有限公司,machine_translated:mymemory
Qianyou Information Technology (Wuhan) Co.,千友信息技术（武汉）有限公司,千友信息技术（武汉）有限公司,machine_translated:mymemory
SHANDONG HIGH- SPEED DEJIAN GROUP LIMITED,山东高速德建集团有限公司,山东高速德建集团有限公司,machine_translated:mymemory
SHANDONG POWER EQ CO.LTD,山东省电能环保股份有限公司,山东省电能环保股份有限公司,machine_translated:mymemory
"SHANDONG RUITAI GLASS INSULATOR CO.,LTD",山东瑞泰玻璃绝缘子有限公司,山东瑞泰玻璃绝缘子有限公司,machine_translated:mymemory
SHENZEN MINDRAY BIO-MEDICAL ELECTRONIC,深圳迈瑞生物医用电子,深圳迈瑞生物医用电子,machine_translated:mymemory
SHENZHEN MINDRAY BIO-MEDICAL ELECTRONI,深圳迈瑞生物,深圳迈瑞生物,machine_translated:mymemory
SHENZHEN MINDRAY BIO-MEDICAL ELECTRONIC CO.,深圳市迈瑞生物医药电子有限公司,深圳市迈瑞生物医药电子有限公司,machine_translated:mymemory
"SHENZHEN SDG INFORMATION CO., LTD.",深圳市特发信息股份有限公司,深圳市特发信息股份有限公司,machine_translated:mymemory
SHENZHEN SED INDUSTRY CO.,深圳市桑达实业股份有限公司,深圳市桑达实业股份有限公司,machine_translated:mymemory
SINO SOAR HYBRID TECH CO,SINO SOAR HYBRID TECH CO,中翔混合动力科技有限公司,machine_translated:google
SINOHYDRO CORPORATION LIM,SINOHYDRO CORPORATION LIM,中国水利水电建设有限公司,machine_translated:google
SINOHYDRO CORPORATION LTD,中国水电股份有限公司,中国水电股份有限公司,machine_translated:mymemory
SINOHYDRO Corporation Limited,中国水电有限公司,中国水电有限公司,machine_translated:mymemory
SINOPHARM FORTUNE INTERNATIONAL TRADING CORP,国药FORTUNE INTERNATIONAL TRADING CO,国药FORTUNE INTERNATIONAL TRADING CO,machine_translated:mymemory
SINOPHARM INTERNATIONAL HONG KONG LIMITED,国药控股香港有限公司,国药控股香港有限公司,machine_translated:mymemory
"SINOVAC LIFE SCIENCES CO., LTD.",北京科兴中维,北京科兴中维,machine_translated:mymemory
ST. FRANCIS MEDICAL; GEBRUDER MARTIN GMBH & CO. KG; HEINE,ST. FRANCIS MEDICAL; GEBRUDER MARTIN GMBH & Co. KG; HEINE,英石。弗朗西斯医疗；吉布德马丁有限公司；海涅,machine_translated:google
SUMEC COMPLETE EQUIPMENT,SUMEC成套设备,SUMEC成套设备,machine_translated:mymemory
Safety Custom,安全定制,安全定制,machine_translated:mymemory
Sigma Engineers Ltd & Hebei Wansheng Environmental Protection Engineering Co. Ltd. JV,西格玛工程有限公司与河北万盛环保工程有限公司合资,西格玛工程有限公司与河北万盛环保工程有限公司合资,machine_translated:mymemory
"Sino Soar Hybrid (Beijing) Technology Co.,Ltd.",中翔混合动力（北京）科技有限公司,中翔混合动力（北京）科技有限公司,machine_translated:mymemory
TAIXING FENGLING MUSICAL,泰兴凤玲音乐剧,泰兴凤玲音乐剧,machine_translated:mymemory
TBEA SHANDONG LUNENG TAIS,特变电工山东鲁能泰斯,特变电工山东鲁能泰斯,machine_translated:mymemory
