original_name,current_name_zh,suggested_name_zh,soe,source,ref
VINNO TECHNOLOGY CO.,VINNO TECHNOLOGY Co.,维诺科技有限公司,0,machine_translated:mymemory,https://api.mymemory.translated.net/get
INFITEK CO LTD,INFITEK CO LTD,英飞泰克有限公司,0,machine_translated:mymemory,https://api.mymemory.translated.net/get
INTCO MEDICAL (HK) CO.,INTCO MEDICAL (HK) CO.,英科医疗（香港）有限公司,0,machine_translated:mymemory,https://api.mymemory.translated.net/get
): SHANGHAI TO-ALL FOREIGN TRADING CO,） ： SHANGHAI TO-ALL FOREIGN TRAD,上海TO-ALL对外贸易公司,0,machine_translated:mymemory,https://api.mymemory.translated.net/get
BESTLUCK ENTERPRISE,BESTLUCK ENTERPRISE,Bestluck企业,0,machine_translated:mymemory,https://api.mymemory.translated.net/get
CHISON MEDICAL TECHNOLOGIES CO,CHISON MEDICAL TECHNOL,CHISON医疗技术有限公司,0,machine_translated:mymemory,https://api.mymemory.translated.net/get
CONSORCIO JORMAR S.A.,CONSORCIO JORMAR S.A.,Jormar财团,0,machine_translated:mymemory,https://api.mymemory.translated.net/get
95543,95543,95543,0,machine_translated:mymemory,https://api.mymemory.translated.net/get
MR INVESTMENTS (HK) LIMITED,MR INVESTMENTS (HK) LIM,MR投资（香港）有限公司,0,machine_translated:mymemory,https://api.mymemory.translated.net/get
NARI GROUP CORP.,NARI GROUP CORP.,南瑞集团公司,1,machine_translated:mymemory,https://api.mymemory.translated.net/get
NARI GROUP CORPORATION,NARI GROUP CORP,南瑞集团公司,1,machine_translated:mymemory,https://api.mymemory.translated.net/get
HOLLEY CROPU CO. LTD,HOLLEY CROPU CO. LTD,Holley集团有限公司,0,machine_translated:mymemory,https://api.mymemory.translated.net/get
ST. FRANCIS MEDICAL; GEBRUDER MARTIN GMBH & CO. KG; HEINE,ST. FRANCIS MEDICAL; GEBRUDER MARTIN GMBH & Co. KG; HEINE,圣弗朗西斯医疗；Gebrüder Martin 有限合伙；Heine,0,machine_translated:mymemory,https://api.mymemory.translated.net/get
HOLLEY GROUP CO. LTD.,HOLLEY GROUP Co. Ltd.,Holley集团有限公司,0,machine_translated:mymemory,https://api.mymemory.translated.net/get
ARGON; ST. FRANCIS MEDICAL,ARGON ； St. FRANCIS MEDICAL,Argon；圣弗朗西斯医疗,0,machine_translated:mymemory,https://api.mymemory.translated.net/get
TIANJIN YORKOOL INT TRADI,TIANJIN YORKOOL INT TRADI,天津Yorkool国际贸易有限公司,0,machine_translated:mymemory,https://api.mymemory.translated.net/get
SINO SOAR HYBRID TECH CO,SINO SOAR HYBRID TECH CO,中翔混合动力科技有限公司,0,machine_translated:mymemory,https://api.mymemory.translated.net/get
NUCTECH COMPANY LIMITED,NUCTECH COMPANY LIMITED,NUCTECH有限公司,1,machine_translated:mymemory,https://api.mymemory.translated.net/get
CONSORCIOS LONGFOR,CONSORCIOS LONGFOR,龙湖财团,0,machine_translated:mymemory,https://api.mymemory.translated.net/get
PCI-SINOPHARMINTL CONSORT,PCI-SINOPHARMINTL CONSORT,PCI-国药国际财团,1,machine_translated:mymemory,https://api.mymemory.translated.net/get
ASOCC ACCID S&Z,ASOCC ACCID S&Z,ASOCC ACCID S&Z,0,machine_translated:mymemory,https://api.mymemory.translated.net/get
WAVTEQ LIMITED,WAVTEQ LIMITED,WAVTEQ有限公司,0,machine_translated:mymemory,https://api.mymemory.translated.net/get
CHINANAT.ELEC W&CIMP/EXP,CHINANAT.ELEC W&CIMP/EXP,CHINANAT.ELEC W&CIMP/EXP,1,machine_translated:mymemory,https://api.mymemory.translated.net/get
JIANGZU ZHONGTIAN TEC CO,JIANGZU ZHONGTIAN TEC CO,江苏中天科技公司,0,machine_translated:mymemory,https://api.mymemory.translated.net/get
PEOPLES CABLE GROUP CO LT,PEOPLE CABLE GROUP CO LT,人民电缆集团有限公司,0,machine_translated:mymemory,https://api.mymemory.translated.net/get
INFOCIVITAS LIMITED,INFOCIVITAS LIMITED,InfoCivitas有限公司,0,machine_translated:mymemory,https://api.mymemory.translated.net/get
CHINA MACHINERY ENGINEERI,CHINA MACHINERY ENGINEERI,中国机械工程公司,1,machine_translated:mymemory,https://api.mymemory.translated.net/get
SINOHYDRO CORPORATION LIM,SINOHYDRO CORPORATION LIM,中国水电有限公司,1,machine_translated:mymemory,https://api.mymemory.translated.net/get
METRO LINEA 1 S.A.S,METRO LINEA 1 S.A.S,Metro Linea 1 S.A.S,0,machine_translated:mymemory,https://api.mymemory.translated.net/get
DONGFANG ELECTRIC,Dongfang Electric,东方电气,1,machine_translated:mymemory,https://api.mymemory.translated.net/get
