en_name,current_zh,status
POWERCHINA JIANGXI ELECTRIC POWER CONSTRUCTION COMPANY LIMITED,POWERCHINA江西省电力建设有限公司,needs_review
CIMC-TIANDA NETHERLANDS COOPERATIEF U.A. (NETHERLANDS); SHENZHEN CIMC-TIANDA AIRPORT SUPPORT LTD.,CIMC-TIANDA NETHERLAND COOPERATIEF U.A. （荷兰） ；深圳市CIMC-TIANDA机场支持有限公司,needs_review
SINOPHARM FORTUNE INTERNATIONAL TRADING CORP,国药FORTUNE INTERNATIONAL TRADING CO,needs_review
China MEHECO Corporation,中国MEHECO公司,needs_review
"Jagui S.A.C.; Weihai Construction Group Co., Ltd.",Jagui S.A.C. ；威海建设集团有限公司,needs_review
"CHINA NATIONAL MACHINERY IMP & EXP-CMC; CNR CHANGCHUN RAILWAY VEHICLES CO, LTD",中国机械进出口-CMC ； CNR长春铁路车辆有限公司,needs_review
CHINA NATIONAL COMPLETE PLANT IMPORT & EXPORT SHANGHAI CORPORATION; C.O. WILLIAMS (ST. LUCIA) LTD.,中国成套设备进出口上海公司； C.O.威廉姆斯（圣卢西亚）有限公司,needs_review
INSTEC-Sino Soar Consortium,INSTEC-Sino Soar财团,needs_review
Power China Jhianxi electric power contruction co. Ltd.,Power China Jhianxi电力建设有限公司,needs_review
THE 23RD METALLURGICAL CO,第23届冶金CO,needs_review
Joint Venture: China Road and Bridge Corporation & Kuldipsingh Infra NV,合资公司：中国路桥股份有限公司& Kuldipsingh Infra NV,needs_review
PCI-SINOPHARMINTL CONSORT,PCI-国药联合体,needs_review
Joint Venture of SUMEC Complete Equipment & Engineering Co. Ltd and XJ Group Corporation,苏梅克成套设备工程有限公司与XJ集团股份有限公司合资,needs_review
CMEC - SINOPHARMINTL CONS,CMEC - SINOPHARMINTL缺点,needs_review
SUMEC COMPLETE EQUIPMENT,SUMEC成套设备,needs_review
CHINA ROAD AND BRIDGE COR,中国路桥COR,needs_review
ASOCIACION ACCIDENTAL S&Z,ASOCIACION意外S&Z,needs_review
HENGTONG OPTIC ELECTRIC C,亨通光电C,needs_review
CHINANAT.ELEC W&CIMP/EXP,中国国际电力展览会&CIMP/EXP,needs_review
CHINA NAT CABLE ENG. CO.,中国NAT电缆工程有限公司,needs_review
CHINA NATIONAL W&C M&X,中国W&C M&X,needs_review
CHANGJIANG INSTITUTE OF SURVEY PLANNIG DESING AND RESEARCH,长江测量研究院PLANNIG设计与研究,needs_review
NANJING DAJI STELL TM,南京大吉STELL TM,needs_review
CMC-CSEEC CONSORTIUM,CMC-CSEEC财团,needs_review
METRO LINEA 1 S.A.S,地铁 LINEA 1 S.A.S,needs_review
